column,type,train_auc,oof_auc,auc_gap,is_suspect,suspect_reason
expected_domain,categorical_high,0.7334828101644245,0.5646935724962631,0.16878923766816145,1,high_overfit_gap
interested_company,text,0.9290711082639336,0.5218065342729019,0.40726457399103166,1,high_overfit_gap
incumbents_lecture_scale_reason,text,0.9981080503950459,0.5178603459320947,0.4802477044629512,1,high_overfit_gap
desired_job,categorical_high,0.7528421951740337,0.5050138799914585,0.2478283151825752,1,high_overfit_gap
ID,id_like,1.0,0.5026905829596413,0.4973094170403587,1,high_overfit_gap
what_to_gain,categorical_low,0.5134272901985907,0.5764253683536196,-0.06299807815502889,0,
certificate_acquisition,categorical_high,0.6223232970318172,0.5746957078795643,0.04762758915225296,0,
major_data,numeric_discrete,0.5430877642536835,0.5430877642536835,0.0,0,
incumbents_company_level,categorical_low,0.5344010249839846,0.5414349775784753,-0.007033952594490689,0,
incumbents_level,categorical_low,0.5032201580183643,0.5379841981635705,-0.034764040145206176,0,
desired_certificate,categorical_high,0.680747384155456,0.5372581678411276,0.14348921631432843,0,
completed_semester,numeric_discrete,0.5336152039291053,0.5336152039291053,0.0,0,
previous_class_7,categorical_low,0.5692675635276531,0.5320478325859492,0.03721973094170383,0,
class1,numeric_discrete,0.5305658765748451,0.5305658765748451,0.0,0,
incumbents_lecture_scale,categorical_low,0.5169848387785608,0.5296775571215033,-0.0126927183429425,0,
previous_class_3,categorical_low,0.555921417894512,0.5286312193038649,0.027290198590647075,0,
inflow_route,categorical_low,0.5699935938500961,0.52842622250694,0.04156737134315602,0,
re_registration,categorical_low,0.5526243860773008,0.5283877856075165,0.024236600469784264,0,
previous_class_4,categorical_low,0.5549989323083493,0.5281358103779628,0.026863121930386535,0,
major1_2,categorical_low,0.5859320948110185,0.5268802049967969,0.0590518898142216,0,
whyBDA,categorical_low,0.5853897074524878,0.5263933376040999,0.05899636984838785,0,
previous_class_5,categorical_low,0.5550800768737988,0.5243732650010676,0.030706811872731166,0,
school1,numeric_continuous,0.5227503736920777,0.5227503736920777,0.0,0,
major1_1,categorical_low,0.575003203074952,0.5198590647021141,0.055144138372837936,0,
incumbents_lecture_type,categorical_low,0.539286781977365,0.51939355114243,0.019893230834934994,0,
desired_job_except_data,categorical_high,0.6792440743113388,0.518616271620756,0.16062780269058285,0,
previous_class_6,categorical_low,0.5616271620755925,0.5163912022207986,0.045235959854793895,0,
previous_class_8,categorical_low,0.5674268631219304,0.5155840273329062,0.051842835789024155,0,
major_field,categorical_high,0.6320777279521675,0.5145590433482811,0.11751868460388648,0,
incumbents_lecture,categorical_low,0.5387102284860131,0.514191757420457,0.024518471065556158,0,
class2,numeric_discrete,0.5115054452274183,0.5115054452274183,0.0,0,
hope_for_group,categorical_low,0.545560538116592,0.510113175314969,0.03544736280162297,0,
project_type,categorical_low,0.5035575485799701,0.508631219303865,-0.005073670723894863,0,
job,categorical_low,0.5157633995302157,0.5071834294255819,0.008579970104633738,0,
nationality,categorical_low,0.5022378816997651,0.5039120222079864,-0.0016741405082212335,0,
onedayclass_topic,categorical_high,0.6315652359598549,0.5032628656843904,0.12830237027546454,0,
time_input,numeric_discrete,0.5030578688874654,0.5030578688874654,0.0,0,
class4,constant,0.5009523809523809,0.5026905829596413,-0.001738202007260381,0,
major type,categorical_low,0.5444928464659406,0.5023660046978433,0.042126841768097334,0,
desired_career_path,categorical_low,0.5241853512705532,0.5005423873585308,0.023642963912022363,0,
contest_participation,categorical_low,0.5095451633568225,0.5000768737988468,0.00946828955797574,0,
