column,mutual_info
hope_for_group,0.052218672997368376
previous_class_7,0.040854627032765656
incumbents_lecture,0.02477885567550131
major1_2,0.022998454494750353
inflow_route,0.01887240700287207
completed_semester,0.018428668045918917
previous_class_4,0.0181403285556323
major_data,0.0178355747688681
major_field,0.01626908068008115
incumbents_level,0.015396562722265195
contest_award,0.013780391272341985
project_type,0.013234010482298997
contest_participation,0.010677530915576883
previous_class_8,0.010267030382431486
certificate_acquisition,0.00892604297875299
incumbents_lecture_scale,0.008022625568217423
previous_class_3,0.00785115469971398
incumbents_lecture_type,0.006900643605998624
desired_certificate,0.00539405181916508
school1,0.0036567810083270036
incumbents_company_level,0.003392931485773909
nationality,0.003384270507808429
desired_job,0.0011618592225923763
job,0.0006439651353657982
whyBDA,0.0006151654141417495
time_input,0.00022862571852999558
ID,0.0
class3,0.0
class2,0.0
class1,0.0
major type,0.0
major1_1,0.0
generation,0.0
class4,0.0
re_registration,0.0
desired_career_path,0.0
previous_class_6,0.0
previous_class_5,0.0
what_to_gain,0.0
desired_job_except_data,0.0
expected_domain,0.0
idea_contest,0.0
onedayclass_topic,0.0
