feature,hypothesis_id,expected_direction,feature_type,missing_rate,nunique,oof_auc,best_segment,best_segment_count,best_segment_rate,worst_segment,worst_segment_count,worst_segment_rate,effect_range,lift_best_vs_base
h2_acquired_cert_cnt,H2,up,numeric,0.0,5,0.578052530429212,2.0,86,0.46511627906976744,0.0,464,0.25,0.21511627906976744,1.5601209719470224
h5_inflow_organic,H5,mixed,binary,0.0,2,0.5534614563314115,0.0,286,0.35664335664335667,1.0,462,0.2619047619047619,0.09473859473859475,1.1962745774404968
h1_prev_class_count,H1,up,numeric,0.0,2,0.5526243860773008,6.0,146,0.410958904109589,0.0,602,0.2707641196013289,0.14019478450826012,1.3784630505559308
h1_previous_any,H1,up,binary,0.0,2,0.5526243860773008,1.0,146,0.410958904109589,0.0,602,0.2707641196013289,0.14019478450826012,1.3784630505559308
h1_reregistration_yes,H1,up,binary,0.0,2,0.5526243860773008,1.0,146,0.410958904109589,0.0,602,0.2707641196013289,0.14019478450826012,1.3784630505559308
h1_experience_score,H1,up,numeric,0.0,2,0.5526243860773008,7.0,146,0.410958904109589,0.0,602,0.2707641196013289,0.14019478450826012,1.3784630505559308
h2_alignment_score,H2,up,numeric,0.0,5,0.5505274396754217,2.0,209,0.3588516746411483,4.0,174,0.22988505747126436,0.12896661716988395,1.2036818503658246
h5_inflow_referral,H5,mixed,binary,0.0,2,0.5448088831945334,1.0,228,0.35964912280701755,0.0,520,0.27115384615384613,0.08849527665317142,1.2063566989221932
h2_major_data_flag,H2,up,binary,0.0,2,0.5430877642536835,0.0,421,0.33016627078384797,1.0,327,0.25688073394495414,0.07328553683889383,1.1074635450507546
h3_hope_offline,H3,up,binary,0.0,2,0.5428486013239378,0.0,381,0.3333333333333333,1.0,367,0.2615803814713896,0.07175295186194369,1.1180866965620326
h2_desired_job_data_cnt,H2,up,numeric,0.0,5,0.5390006406149904,1.0,315,0.3333333333333333,3.0,104,0.19230769230769232,0.141025641025641,1.1180866965620326
h3_hope_online,H3,mixed,binary,0.0,2,0.5351270553064276,1.0,265,0.33962264150943394,0.0,483,0.2753623188405797,0.06426032266885423,1.1391826719688636
h4_text_len_reason,H4,mixed,numeric,0.0,78,0.5258338671791587,"(36.6, 165.0]",150,0.34,"(0.999, 13.0]",158,0.25949367088607594,0.08050632911392408,1.1404484304932736
h3_engagement_score,H3,up,numeric,0.0,4,0.5229895366218236,1.0,251,0.3346613545816733,3.0,46,0.2391304347826087,0.09553091979906458,1.1225412252335947
h4_complexity_high,H4,up,binary,0.0,2,0.5203715566944267,0.0,522,0.3103448275862069,1.0,226,0.26991150442477874,0.04043332316142817,1.040977269212927
h4_text_len_total,H4,mixed,numeric,0.0,92,0.5145889387144993,"(24.0, 32.0]",147,0.3333333333333333,"(1.999, 17.0]",151,0.26490066225165565,0.06843267108167767,1.1180866965620326
h4_text_len_company,H4,mixed,numeric,0.0,39,0.5137433269271834,"(5.0, 9.0]",150,0.32666666666666666,"(9.0, 88.0]",141,0.2695035460992908,0.05716312056737588,1.095724962630792
h3_time_high,H3,up,binary,0.0,2,0.5123638693145419,1.0,91,0.34065934065934067,0.0,657,0.2922374429223744,0.04842189773696626,1.1426600305524073
h4_choice_breadth,H4,up,numeric,0.0,21,0.5122314755498611,"(6.0, 8.0]",187,0.32620320855614976,"(8.0, 9.0]",80,0.2375,0.08870320855614977,1.094170403587444
h3_hope_individual,H3,down,binary,0.0,2,0.5077215460175102,1.0,116,0.31896551724137934,0.0,632,0.29430379746835444,0.024661719773024893,1.069893304468842
h2_desired_cert_cnt,H2,up,numeric,0.0,8,0.5066453128336537,"(1.0, 2.0]",239,0.32217573221757323,"(2.0, 3.0]",190,0.2736842105263158,0.04849152169125742,1.0806612004428016
h4_response_complexity_score,H4,up,numeric,0.0,472,0.5035618193465727,"(11.079, 12.837]",149,0.3221476510067114,"(9.39, 11.079]",150,0.2733333333333333,0.04881431767337807,1.0805670087579378
h3_project_team,H3,up,binary,0.0,2,0.5035575485799701,0.0,221,0.3031674208144796,1.0,527,0.29601518026565465,0.007152240548824962,1.0169023801310795
h3_time_input,H3,up,numeric,0.0,14,0.5030578688874654,"(3.0, 24.0]",91,0.34065934065934067,"(-0.001, 2.0]",534,0.2902621722846442,0.05039716837469649,1.1426600305524073
h5_goal_item_cnt,H5,up,numeric,0.0,3,0.5019047619047619,1.0,746,0.29892761394101874,1.0,746,0.29892761394101874,0.0,1.0026809651474529
